Tempo, Velocidade
0.026000, 0
0.052000, 0
0.078000, 2.067824
0.104000, 1.691856
0.130000, 2.443793
0.156000, 3.007746
0.182000, 2.067824
0.208000, 2.631777
0.234000, 2.443793
0.260000, 2.819760
0.286000, 2.255809
0.312000, 3.007747
0.338000, 2.819760
0.364000, 2.631777
0.390000, 2.255811
0.416000, 3.007742
0.442000, 2.255806
0.468000, 3.007747
0.494000, 2.631779
0.520000, 2.067823
0.546000, 3.007742
0.572000, 1.315892
0.598000, -5.075569
0.624000, -6.579440
0.650000, 20.678246
0.676000, 2.631779
0.702000, 3.571694
0.728000, 1.691859
0.754000, 3.383710
0.780000, 2.819767
0.806000, 2.819758
0.832000, 2.631774
0.858000, 2.819758
0.884000, 3.571703
0.910000, 2.819758
0.936000, 2.819758
0.962000, 3.195726
0.988000, 2.631783
1.014000, 2.819758
1.040000, 3.007742
1.067000, 2.896344
1.093000, 3.007751
1.119000, 2.819758
1.145000, 2.631774
1.171000, 2.819758
1.197000, 2.631793
1.223000, 3.571694
1.249000, 2.631774
1.275000, 3.383710
1.301000, 3.007751
1.327000, 2.443790
1.353000, 3.195726
1.379000, 3.383710
1.405000, 3.195735
1.431000, 3.007742
1.457000, 3.571694
1.483000, 2.819758
1.509000, 3.007760
1.536000, 3.077366
1.562000, 2.443790
1.588000, 2.819758
1.614000, 3.759677
1.640000, 2.819758
1.666000, 3.007742
1.692000, 3.571694
1.718000, 2.631793
1.744000, 3.195726
1.770000, 0.187984
1.796000, 0.000000
1.822000, 0.000000
1.848000, 0.000000
1.874000, 0.000000
1.900000, 0.000000
1.926000, 0.000000
1.952000, -0.187984
1.978000, 0.000000
2.004000, -192.119710
2.030000, 0.000000
2.056000, 0.000000
2.082000, 0.000000
2.108000, 0.000000
2.134000, 1.315888
2.160000, 2.819761
2.186000, 2.631777
2.212000, 3.007745
2.238000, 2.631777
2.264000, 2.631777
2.290000, 3.007746
2.316000, 2.443794
2.342000, 2.443790
2.368000, 2.819763
2.394000, 2.819760
2.420000, 2.443790
2.446000, 2.819763
2.472000, 2.819760
2.498000, 2.443793
2.524000, 2.443795
2.550000, 2.631774
2.576000, 2.819763
2.603000, 2.715323
2.629000, 2.255811
2.655000, 2.819758
2.681000, 2.443795
2.707000, 2.631774
2.733000, 2.631774
2.759000, 2.819767
2.785000, 3.007742
2.811000, 2.443795
2.837000, 3.195726
2.863000, 2.067827
2.889000, 3.195726
2.915000, 3.007751
2.941000, 2.819758
2.967000, 3.195726
2.993000, 2.255806
3.019000, 3.195735
3.045000, 3.007742
3.072000, 2.534301
3.098000, 3.571703
3.124000, 2.443790
3.150000, 3.195726
3.176000, 2.443790
3.202000, 2.819758
3.228000, 3.383719
3.254000, 3.007742
3.280000, 2.631774
3.306000, 2.631774
3.332000, 3.007760
3.358000, 3.383710
3.384000, 2.443790
3.410000, 3.571694
3.436000, 2.819767
3.462000, 3.007742
3.488000, 2.819758
3.514000, 3.383710
3.540000, 3.383719
3.566000, 3.195726
3.592000, 3.195726
3.618000, 2.819777
3.644000, 2.443790
3.670000, 3.195726
3.696000, 3.007742
3.722000, 2.631774
