Time,Output,Error,Control
0.00296,0.0,0.0,0.0
0.011444,0.0,0.0,0.0
0.035364,24.437902,0.0,0.0
0.060324,39.100647,0.0,0.0
0.085284,43.988464,0.0,0.0
0.110244,48.875805,0.0,0.0
0.135204,63.538548,0.0,0.0
0.160164,58.651089,0.0,0.0
0.185124,63.538548,0.0,0.0
0.210084,58.650967,0.0,0.0
0.235044,73.313828,0.0,0.0
0.260004,73.313713,0.0,0.0
0.284964,68.426369,0.0,0.0
0.309924,68.426132,0.0,0.0
0.334884,83.088867,0.0,0.0
0.359844,63.538548,0.0,0.0
0.384804,78.20153,0.0,0.0
0.409764,73.313713,0.0,0.0
0.434724,68.426132,0.0,0.0
0.459684,87.976692,0.0,0.0
0.484644,63.538548,0.0,0.0
0.509604,63.538548,0.0,0.0
0.534564,83.088867,0.0,0.0
0.559524,73.313713,0.0,0.0
0.584484,83.089111,0.0,0.0
0.609444,63.538548,0.0,0.0
0.634404,68.426132,0.0,0.0
0.659364,63.538548,0.0,0.0
0.684324,68.426605,0.0,0.0
0.709284,83.088867,0.0,0.0
0.734244,78.201294,0.0,0.0
0.759204,73.313713,0.0,0.0
0.784164,78.20153,0.0,0.0
0.809124,73.313713,0.0,0.0
0.834084,73.313713,0.0,0.0
0.859044,73.313713,0.0,0.0
0.884004,83.089111,0.0,0.0
0.908964,83.088867,0.0,0.0
0.933924,78.201294,0.0,0.0
0.958884,78.201294,0.0,0.0
0.983844,68.426605,0.0,0.0
1.008804,68.426132,0.0,0.0
1.033764,78.201294,0.0,0.0
1.058724,73.313713,0.0,0.0
1.083684,63.538548,0.0,0.0
1.108644,87.976448,0.0,0.0
1.133604,68.426132,0.0,0.0
1.158564,78.201294,0.0,0.0
1.183524,87.976448,0.0,0.0
1.208484,73.314186,0.0,0.0
1.233444,83.088867,0.0,0.0
1.645284,73.313774,0.0,0.0
1.670244,63.538616,0.0,0.0
1.695204,78.201363,0.0,0.0
1.720164,73.313766,0.0,0.0
1.745124,87.97654,0.0,0.0
1.770084,53.763447,0.0,0.0
1.795044,58.651028,0.0,0.0
1.820004,58.651028,0.0,0.0
1.844964,78.201347,0.0,0.0
1.869924,63.538609,0.0,0.0
1.894884,73.313766,0.0,0.0
1.919844,58.651089,0.0,0.0
1.944804,58.650967,0.0,0.0
1.969764,73.313766,0.0,0.0
1.994724,63.538609,0.0,0.0
2.019684,68.426247,0.0,0.0
2.044644,58.650967,0.0,0.0
2.069604,63.538548,0.0,0.0
2.094564,78.201408,0.0,0.0
2.119524,58.651089,0.0,0.0
2.144484,53.763386,0.0,0.0
2.169444,73.313713,0.0,0.0
2.194404,58.651089,0.0,0.0
2.219364,73.313713,0.0,0.0
2.244324,63.538788,0.0,0.0
2.269284,63.538548,0.0,0.0
2.294244,83.088989,0.0,0.0
2.319204,53.763386,0.0,0.0
2.344164,68.426132,0.0,0.0
2.369124,73.313828,0.0,0.0
2.394084,73.313713,0.0,0.0
2.419044,68.426369,0.0,0.0
2.444004,68.426132,0.0,0.0
2.468964,87.976448,0.0,0.0
2.493924,73.313713,0.0,0.0
2.518884,68.426369,0.0,0.0
2.543844,73.313713,0.0,0.0
2.568804,68.426132,0.0,0.0
2.593764,87.976692,0.0,0.0
2.618724,58.650967,0.0,0.0
2.643684,73.313713,0.0,0.0
2.668644,78.201294,0.0,0.0
2.693604,68.426132,0.0,0.0
2.718564,78.20153,0.0,0.0
2.743524,68.426132,0.0,0.0
2.768484,68.426132,0.0,0.0
2.793444,63.538548,0.0,0.0
2.818404,68.426605,0.0,0.0
2.843364,87.976448,0.0,0.0
2.868324,78.201294,0.0,0.0
2.893284,68.426132,0.0,0.0
2.918244,83.089111,0.0,0.0
2.943204,68.426132,0.0,0.0
2.968164,78.201294,0.0,0.0
2.993124,73.313713,0.0,0.0
3.018084,78.20153,0.0,0.0
3.043044,83.088867,0.0,0.0
3.068004,78.201294,0.0,0.0
3.092964,78.201294,0.0,0.0
3.117924,68.426605,0.0,0.0
3.142884,68.426132,0.0,0.0
3.167844,78.201294,0.0,0.0
3.192804,73.313713,0.0,0.0
3.217764,63.538548,0.0,0.0
3.242724,87.976448,0.0,0.0
3.267684,63.538548,0.0,0.0
3.292644,87.976448,0.0,0.0
3.317604,83.088867,0.0,0.0
3.342564,73.314186,0.0,0.0
3.367524,73.313713,0.0,0.0
3.780404,78.201363,0.0,0.0
3.805364,58.651028,0.0,0.0
3.830324,78.201363,0.0,0.0
