Tempo, Referencia, Erro, Posicao
0,0,"-0,024438","0,024438"
0,0,"-0,024438","0,024438"
"0,001","0,001",0,0
"0,004","0,004","-0,023438","0,024438"
"0,007","0,007","-0,020438","0,024438"
"0,011","0,011","-0,007663","0,014663"
"0,014","0,014","-0,013438","0,024438"
"0,018","0,018","0,014",0
"0,021","0,021","-0,006438","0,024438"
"0,024","0,024","-0,003438","0,024438"
"0,028","0,028","0,024",0
"0,031","0,031","0,003562","0,024438"
"0,034","0,034","0,006562","0,024438"
"0,038","0,038","0,034",0
"0,041","0,041","0,013562","0,024438"
"0,045","0,045","0,016562","0,024438"
"0,049","0,049","0,045",0
"0,052","0,052","0,024562","0,024438"
"0,055","0,055","0,027562","0,024438"
"0,059","0,059","0,055",0
"0,062","0,062","0,03945","0,01955"
"0,065","0,065","0,037562","0,024438"
"0,069","0,069","0,021012","0,043988"
"0,072","0,072","0,044562","0,024438"
"0,075","0,075","0,047562","0,024438"
"0,079","0,079","0,040787","0,034213"
"0,082","0,082","0,054562","0,024438"
"0,086","0,086","0,052674","0,029326"
"0,09","0,09","0,061562","0,024438"
"0,093","0,093","0,075337","0,014663"
"0,096","0,096","0,068562","0,024438"
"0,099","0,099","0,071562","0,024438"
"0,103","0,103","0,094112","0,004888"
"0,106","0,106","0,078562","0,024438"
"0,109","0,109","0,081562","0,024438"
"0,113","0,113","0,109",0
"0,116","0,116","0,088562","0,024438"
"0,119","0,119","0,091562","0,024438"
"0,123","0,123","0,119",0
"0,126","0,126","0,098562","0,024438"
"0,13","0,13","0,101562","0,024438"
"0,134","0,134","0,13",0
"0,137","0,137","0,109562","0,024438"
"0,14","0,14","0,112562","0,024438"
"0,144","0,144","0,14",0
"0,147","0,147","0,119562","0,024438"
"0,15","0,15","0,122562","0,024438"
"0,154","0,154","0,106012","0,043988"
"0,157","0,157","0,129562","0,024438"
"0,16","0,16","0,132562","0,024438"
"0,164","0,164","0,125787","0,034213"
"0,167","0,167","0,14445","0,01955"
"0,171","0,171","0,142562","0,024438"
"0,175","0,175","0,146562","0,024438"
"0,178","0,178","0,165225","0,009775"
"0,181","0,181","0,153562","0,024438"
"0,185","0,185","0,156562","0,024438"
"0,188","0,188","0,185",0
"0,191","0,191","0,163562","0,024438"
"0,194","0,194","0,166562","0,024438"
"0,198","0,198","0,194",0
"0,201","0,201","0,173562","0,024438"
"0,204","0,204","0,176562","0,024438"
"0,208","0,208","0,204",0
"0,211","0,211","0,183562","0,024438"
"0,215","0,215","0,186562","0,024438"
"0,219","0,219","0,215",0
"0,222","0,222","0,194562","0,024438"
"0,225","0,225","0,197562","0,024438"
"0,229","0,229","0,225",0
"0,232","0,232","0,204562","0,024438"
"0,235","0,235","0,207562","0,024438"
"0,239","0,239","0,195899","0,039101"
"0,242","0,242","0,214562","0,024438"
"0,245","0,245","0,217562","0,024438"
"0,249","0,249","0,220562","0,024438"
"0,252","0,252","0,234337","0,014663"
"0,256","0,256","0,227562","0,024438"
"0,26","0,26","0,231562","0,024438"
"0,263","0,263","0,255112","0,004888"
"0,266","0,266","0,238562","0,024438"
"0,27","0,27","0,241562","0,024438"
"0,273","0,273","0,27",0
"0,276","0,276","0,248562","0,024438"
"0,279","0,279","0,251562","0,024438"
"0,283","0,283","0,279",0
"0,286","0,286","0,258562","0,024438"
"0,289","0,289","0,261562","0,024438"
"0,293","0,293","0,289",0
"0,296","0,296","0,268562","0,024438"
"0,3","0,3","0,271562","0,024438"
"0,304","0,304","0,3",0
"0,307","0,307","0,279562","0,024438"
"0,31","0,31","0,282562","0,024438"
"0,314","0,314","0,31",0
"0,317","0,317","0,289562","0,024438"
"0,32","0,32","0,292562","0,024438"
"0,324","0,324","0,276012","0,043988"
"0,327","0,327","0,30445","0,01955"
"0,33","0,33","0,302562","0,024438"
"0,334","0,334","0,305562","0,024438"
"0,337","0,337","0,324225","0,009775"
"0,34","0,34","0,312562","0,024438"
"0,345","0,345","0,315562","0,024438"
"0,348","0,348","0,345",0
"0,351","0,351","0,323562","0,024438"
"0,355","0,355","0,326562","0,024438"
"0,358","0,358","0,355",0
"0,361","0,361","0,333562","0,024438"
"0,364","0,364","0,336562","0,024438"
"0,368","0,368","0,364",0
"0,371","0,371","0,343562","0,024438"
"0,374","0,374","0,346562","0,024438"
"0,378","0,378","0,374",0
"0,381","0,381","0,353562","0,024438"
"0,385","0,385","0,356562","0,024438"
"0,389","0,389","0,385",0
"0,392","0,392","0,364562","0,024438"
"0,395","0,395","0,367562","0,024438"
"0,399","0,399","0,351012","0,043988"
"0,402","0,402","0,374562","0,024438"
"0,405","0,405","0,377562","0,024438"
"0,409","0,409","0,361012","0,043988"
"0,412","0,412","0,394337","0,014663"
"0,415","0,415","0,387562","0,024438"
"0,419","0,419","0,390562","0,024438"
"0,422","0,422","0,414112","0,004888"
"0,425","0,425","0,397562","0,024438"
"0,43","0,43","0,400562","0,024438"
"0,433","0,433","0,43",0
"0,436","0,436","0,408562","0,024438"
"0,44","0,44","0,411562","0,024438"
"0,443","0,443","0,44",0
"0,446","0,446","0,418562","0,024438"
"0,449","0,449","0,421562","0,024438"
"0,453","0,453","0,449",0
"0,456","0,456","0,428562","0,024438"
"0,459","0,459","0,431562","0,024438"
"0,463","0,463","0,459",0
"0,466","0,466","0,438562","0,024438"
"0,47","0,47","0,441562","0,024438"
"0,474","0,474","0,47",0
