Tempo,Referencia,Erro,Posicao
0.000000,0.000000,-0.029326,0.029326
0.000000,0.000000,-0.024438,0.024438
0.001000,0.001000,0.000000,0.000000
0.004000,0.004000,-0.023438,0.024438
0.007000,0.007000,-0.020438,0.024438
0.011000,0.011000,-0.012550,0.019550
0.014000,0.014000,-0.013438,0.024438
0.018000,0.018000,0.014000,0.000000
0.021000,0.021000,-0.006438,0.024438
0.024000,0.024000,-0.003438,0.024438
0.028000,0.028000,0.019112,0.004888
0.031000,0.031000,0.003562,0.024438
0.034000,0.034000,0.006562,0.024438
0.038000,0.038000,0.034000,0.000000
0.041000,0.041000,0.013562,0.024438
0.045000,0.045000,0.016562,0.024438
0.049000,0.049000,0.045000,0.000000
0.052000,0.052000,0.024562,0.024438
0.055000,0.055000,0.027562,0.024438
0.059000,0.059000,0.055000,0.000000
0.062000,0.062000,0.034562,0.024438
0.065000,0.065000,0.037562,0.024438
0.069000,0.069000,0.025899,0.039101
0.072000,0.072000,0.044562,0.024438
0.075000,0.075000,0.047562,0.024438
0.079000,0.079000,0.040787,0.034213
0.082000,0.082000,0.054562,0.024438
0.086000,0.086000,0.057562,0.024438
0.090000,0.090000,0.061562,0.024438
0.093000,0.093000,0.065562,0.024438
0.096000,0.096000,0.068562,0.024438
0.099000,0.099000,0.071562,0.024438
0.103000,0.103000,0.084337,0.014663
0.106000,0.106000,0.078562,0.024438
0.109000,0.109000,0.076674,0.029326
0.113000,0.113000,0.104112,0.004888
0.116000,0.116000,0.088562,0.024438
0.119000,0.119000,0.091562,0.024438
0.123000,0.123000,0.119000,0.000000
0.126000,0.126000,0.098562,0.024438
0.130000,0.130000,0.101562,0.024438
0.134000,0.134000,0.130000,0.000000
0.137000,0.137000,0.109562,0.024438
0.140000,0.140000,0.112562,0.024438
0.144000,0.144000,0.140000,0.000000
0.147000,0.147000,0.119562,0.024438
0.150000,0.150000,0.122562,0.024438
0.154000,0.154000,0.106012,0.043988
0.157000,0.157000,0.129562,0.024438
0.160000,0.160000,0.132562,0.024438
0.164000,0.164000,0.125787,0.034213
0.167000,0.167000,0.139562,0.024438
0.171000,0.171000,0.137674,0.029326
0.175000,0.175000,0.141674,0.029326
0.178000,0.178000,0.145674,0.029326
0.181000,0.181000,0.143787,0.034213
0.185000,0.185000,0.146787,0.034213
0.188000,0.188000,0.155674,0.029326
0.191000,0.191000,0.148899,0.039101
0.194000,0.194000,0.151899,0.039101
0.198000,0.198000,0.174450,0.019550
0.201000,0.201000,0.154012,0.043988
0.204000,0.204000,0.157012,0.043988
0.208000,0.208000,0.189337,0.014663
0.211000,0.211000,0.164012,0.043988
0.215000,0.215000,0.167012,0.043988
0.219000,0.219000,0.210112,0.004888
0.222000,0.222000,0.170124,0.048876
0.225000,0.225000,0.173124,0.048876
0.229000,0.229000,0.220112,0.004888
0.232000,0.232000,0.175237,0.053763
0.235000,0.235000,0.178237,0.053763
0.239000,0.239000,0.166574,0.068426
0.242000,0.242000,0.180349,0.058651
0.245000,0.245000,0.183349,0.058651
0.249000,0.249000,0.171686,0.073314
0.252000,0.252000,0.190349,0.058651
0.256000,0.256000,0.188461,0.063539
0.260000,0.260000,0.192461,0.063539
0.263000,0.263000,0.196461,0.063539
0.266000,0.266000,0.199461,0.063539
