Time,Output,Error,Control
0.005004,0.977517,0.022483,0.380256
0.011328,0.928641,0.071359,1.198506
0.041452,0.972629,0.027371,0.428683
0.079932,0.982405,0.017595,0.256396
0.118412,0.977517,0.022483,0.336414
0.156892,0.972629,0.027371,0.414861
0.195372,0.972629,0.027371,0.409219
0.233852,0.972629,0.027371,0.404115
0.272332,0.972629,0.027371,0.399497
0.310812,0.977517,0.022483,0.312653
0.349292,0.962854,0.037146,0.558692
0.387772,0.977517,0.022483,0.303454
0.426252,0.972629,0.027371,0.38504
0.464732,0.977517,0.022483,0.299574
0.503212,0.972629,0.027371,0.381529
0.541692,0.987292,0.012708,0.131068
0.580172,0.972629,0.027371,0.382305
0.618652,0.967742,0.032258,0.462428
0.657132,0.977517,0.022483,0.292975
0.695612,0.972629,0.027371,0.375559
0.7341,0.977517,0.022483,0.290996
0.772572,0.977517,0.022483,0.291103
0.811052,0.938416,0.061584,0.952515
0.849532,0.977517,0.022483,0.276689
0.888012,0.972629,0.027371,0.360824
0.926492,0.972629,0.027371,0.36033
0.964972,0.977517,0.022483,0.277217
1.003452,0.972629,0.027371,0.361302
1.041932,0.977517,0.022483,0.278096
1.080412,0.962854,0.037146,0.527426
1.118892,0.977517,0.022483,0.275166
1.157372,0.972629,0.027371,0.359447
1.195852,0.977517,0.022483,0.276418
1.234332,0.977517,0.022483,0.277913
1.272812,0.972629,0.027371,0.361932
1.311292,0.972629,0.027371,0.361332
1.349772,0.962854,0.037146,0.526117
1.388252,0.977517,0.022483,0.273982
1.426732,0.977517,0.022483,0.27571
1.465212,0.972629,0.027371,0.359939
1.503692,0.972629,0.027371,0.359528
1.542172,0.982405,0.017595,0.193827
1.580652,0.972629,0.027371,0.36247
1.619132,0.977517,0.022483,0.279153
1.657612,0.972629,0.027371,0.363054
1.696092,0.977517,0.022483,0.279681
1.734576,0.972629,0.027371,0.363532
1.773052,0.977517,0.022483,0.280114
1.811532,0.953079,0.046921,0.69458
1.850012,0.977517,0.022483,0.273168
1.888492,0.972629,0.027371,0.357639
1.926972,0.972629,0.027371,0.357447
1.965452,0.977517,0.022483,0.274609
2.003932,0.982405,0.017595,0.193612
2.042412,0.977517,0.022483,0.279611
2.080892,0.972629,0.027371,0.363468
2.119372,0.977517,0.022483,0.280056
2.157852,0.977517,0.022483,0.281205
2.196332,0.972629,0.027371,0.36491
2.234812,0.977517,0.022483,0.281361
2.273292,0.977517,0.022483,0.282386
2.311772,0.972629,0.027371,0.365979
2.350252,0.972629,0.027371,0.364993
2.388732,0.977517,0.022483,0.281436
2.427212,0.977517,0.022483,0.282454
2.4657,0.972629,0.027371,0.36604
2.504172,0.972629,0.027371,0.365048
2.542652,0.933529,0.066471,1.025465
2.581132,0.977517,0.022483,0.266075
2.619612,0.972629,0.027371,0.351221
2.658092,0.972629,0.027371,0.351641
2.696572,0.977517,0.022483,0.269356
2.735052,0.972629,0.027371,0.354189
2.773532,0.977517,0.022483,0.271661
2.812012,0.967742,0.032258,0.43894
2.850492,0.977517,0.022483,0.271724
2.888972,0.977517,0.022483,0.273667
2.927452,0.977517,0.022483,0.275424
2.965932,0.972629,0.027371,0.35968
3.004412,0.982405,0.017595,0.193965
3.042892,0.972629,0.027371,0.362595
3.081372,0.967742,0.032258,0.444596
3.119852,0.972629,0.027371,0.359506
3.158332,0.972629,0.027371,0.359137
3.19682,0.977517,0.022483,0.276137
3.235292,0.977517,0.022483,0.27766
3.273772,0.938416,0.061584,0.940353
3.312252,0.977517,0.022483,0.265685
3.350732,0.972629,0.027371,0.350868
3.389212,0.977517,0.022483,0.268656
3.427692,0.972629,0.027371,0.353557
3.466172,0.972629,0.027371,0.353754
3.504652,0.977517,0.022483,0.271267
3.543132,0.962854,0.037146,0.521248
3.581612,0.977517,0.022483,0.269576
3.620092,0.972629,0.027371,0.354389
3.658572,0.977517,0.022483,0.271842
3.697052,0.977517,0.022483,0.273774
3.735532,0.972629,0.027371,0.358187
3.774012,0.972629,0.027371,0.357943
3.812492,0.962854,0.037146,0.523051
3.850972,0.977517,0.022483,0.271208
3.889452,0.977517,0.022483,0.2732
3.927932,0.977517,0.022483,0.275002
3.966412,0.972629,0.027371,0.359298
4.004892,0.977517,0.022483,0.276284
4.043372,0.972629,0.027371,0.360458
4.081852,0.972629,0.027371,0.359998
4.120332,0.972629,0.027371,0.359581
4.158812,0.977517,0.022483,0.27654
4.197296,0.972629,0.027371,0.360689
4.235772,0.977517,0.022483,0.277542
4.274252,0.957967,0.042033,0.609589
4.312732,0.977517,0.022483,0.272888
4.351212,0.972629,0.027371,0.357385
4.389692,0.972629,0.027371,0.357218
4.428172,0.972629,0.027371,0.357066
4.466652,0.972629,0.027371,0.356929
4.505132,0.977517,0.022483,0.27414
4.543612,0.972629,0.027371,0.358518
4.582092,0.972629,0.027371,0.358243
4.620572,0.977517,0.022483,0.275329
4.659052,0.972629,0.027371,0.359594
4.697532,0.972629,0.027371,0.359216
4.736012,0.982405,0.017595,0.193545
4.774492,0.972629,0.027371,0.362215
4.812972,0.972629,0.027371,0.361587
4.851452,0.977517,0.022483,0.278354
4.889932,0.972629,0.027371,0.362331
4.92842,0.972629,0.027371,0.361693
4.966892,0.977517,0.022483,0.27845
5.005372,0.953079,-0.953079,-16.220057
5.046976,0.953079,-0.953079,-15.854637
5.088576,0.879765,-0.879765,-14.284058
5.130172,0.786901,-0.786901,-12.441684
5.171776,0.698925,-0.698925,-10.74253
5.213376,0.591398,-0.591398,-8.76568
5.253936,0.493646,-0.493646,-7.009377
5.294496,0.381232,-0.381232,-5.051389
5.335056,0.278592,-0.278592,-3.306104
5.375616,0.171065,-0.171065,-1.517365
5.416176,0.087977,-0.087977,-0.179248
5.456736,0.0,0.0,1.216909
5.495212,0.0,0.0,1.101004
5.533712,0.0,0.0,0.996138
5.572172,0.0,0.0,0.901261
5.610652,0.0,0.0,0.815419
5.649132,0.0,0.0,0.737754
5.687612,0.0,0.0,0.667486
5.726112,0.0,0.0,0.603911
5.764572,0.0,0.0,0.546391
5.803052,0.0,0.0,0.49435
5.841532,0.0,0.0,0.447265
5.880012,0.0,0.0,0.404665
5.918492,0.0,0.0,0.366123
5.956972,0.0,0.0,0.331251
5.995468,0.0,0.0,0.299701
6.033932,0.0,0.0,0.271156
6.072412,0.0,0.0,0.245329
6.110892,0.0,0.0,0.221963
6.149372,0.0,0.0,0.200822
6.187852,0.0,0.0,0.181694
6.226332,0.0,0.0,0.164389
6.264828,0.0,0.0,0.148731
6.303292,0.0,0.0,0.134565
6.341772,0.0,0.0,0.121749
6.380252,0.0,0.0,0.110153
6.418732,0.0,0.0,0.099661
6.457212,0.0,0.0,0.090169
6.495692,0.0,0.0,0.081581
6.534172,0.0,0.0,0.07381
6.572652,0.0,0.0,0.06678
6.611132,0.0,0.0,0.06042
6.649612,0.0,0.0,0.054665
6.688092,0.0,0.0,0.049458
6.726592,0.0,0.0,0.044748
6.765052,0.0,0.0,0.040486
6.803532,0.0,0.0,0.03663
6.842012,0.0,0.0,0.033141
6.880492,0.0,0.0,0.029984
6.918972,0.0,0.0,0.027128
6.957452,0.0,0.0,0.024545
6.995948,0.0,0.0,0.022207
7.034412,0.0,0.0,0.020092
7.072892,0.0,0.0,0.018178
7.111372,0.0,0.0,0.016447
7.149852,0.0,0.0,0.01488
7.188332,0.0,0.0,0.013463
7.226812,0.0,0.0,0.012181
7.265292,0.0,0.0,0.01102
7.303772,0.0,0.0,0.009971
7.342256,0.0,0.0,0.009021
7.380732,0.0,0.0,0.008162
7.419212,0.0,0.0,0.007385
7.457712,0.0,0.0,0.006681
7.496172,0.0,0.0,0.006045
7.534652,0.0,1.0,16.9186
7.574172,0.0,1.0,16.544716
7.613692,0.078201,0.921799,14.883812
7.653212,0.16129,0.83871,13.20166
7.692732,0.254154,0.745846,11.411571
7.732252,0.381232,0.618768,9.098406
7.770732,0.469208,0.530792,7.509614
7.809212,0.557185,0.442815,5.963272
7.847692,0.654936,0.345064,4.290009
7.886172,0.762463,0.237537,2.489817
7.924656,0.811339,0.188661,1.71999
7.963132,0.918866,0.081134,-0.028974
8.002652,0.987292,0.012708,-1.083109
8.042172,1.021505,-0.021505,-1.542871
8.082732,0.967742,0.032258,-0.513225
8.12226,1.026393,-0.026393,-1.416395
8.162812,1.026393,-0.026393,-1.314152
8.203372,1.021505,-0.021505,-1.138982
8.243932,1.01173,-0.01173,-0.891784
8.284492,0.997067,0.002933,-0.573369
8.324016,0.977517,0.022483,-0.184472
8.363532,0.957967,0.042033,0.19158
8.402012,0.953079,0.046921,0.308014
8.440492,0.953079,0.046921,0.336744
8.478972,0.957967,0.042033,0.280072
8.517452,0.957967,0.042033,0.305414
8.555932,0.957967,0.042033,0.328343
8.594412,0.953079,0.046921,0.431752
8.632892,0.957967,0.042033,0.366031
8.671372,0.943304,0.056696,0.631179
8.709852,0.957967,0.042033,0.393232
8.748332,0.953079,0.046921,0.490461
8.786812,0.957967,0.042033,0.419148
8.825292,0.957967,0.042033,0.431244
8.863772,0.962854,0.037146,0.359523
8.902252,0.953079,0.046921,0.536578
8.940732,0.938416,0.061584,0.79153
8.979212,0.957967,0.042033,0.461695
9.017692,0.957967,0.042033,0.469739
9.056176,0.957967,0.042033,0.477016
9.094652,0.957967,0.042033,0.4836
9.133132,0.962854,0.037146,0.406892
9.171612,0.957967,0.042033,0.496771
9.210092,0.953079,0.046921,0.584138
9.248572,0.957967,0.042033,0.503903
9.287052,0.957967,0.042033,0.507927
9.325532,0.957967,0.042033,0.511566
9.364012,0.957967,0.042033,0.51486
9.402492,0.918866,0.081134,1.179154
9.440972,0.957967,0.042033,0.505936
9.479452,0.953079,0.046921,0.59243
9.517932,0.957967,0.042033,0.511406
9.556412,0.953079,0.046921,0.597379
9.594892,0.957967,0.042033,0.515883
9.633372,0.957967,0.042033,0.518765
9.671852,0.943304,0.056696,0.769365
9.710332,0.962854,0.037146,0.435593
9.748812,0.967742,0.032258,0.35741
9.7873,0.962854,0.037146,0.445953
9.825772,0.967742,0.032258,0.366783
9.864252,0.923754,0.076246,1.115748
9.902732,0.967742,0.032258,0.359857
9.941212,0.967742,0.032258,0.365502
9.979692,0.967742,0.032258,0.370611
10.018172,0.967742,0.032258,0.375232
10.057692,0.967742,0.032258,0.379414
10.097212,0.967742,0.032258,0.383197
10.136732,0.957967,0.042033,0.551948
10.176252,0.967742,0.032258,0.386067
10.215772,0.962854,0.037146,0.47188
10.255292,0.967742,0.032258,0.390241
10.294812,0.967742,0.032258,0.392993
10.334332,0.943304,0.056696,0.808804
10.373852,0.967742,0.032258,0.388611
10.413372,0.967742,0.032258,0.391518
10.4529,0.967742,0.032258,0.394148
10.492412,0.967742,0.032258,0.396528
10.531932,0.933529,0.066471,0.977331
10.571452,0.967742,0.032258,0.387855
10.610972,0.967742,0.032258,0.390834
10.650492,0.967742,0.032258,0.39353
10.690012,0.967742,0.032258,0.395968
10.729532,0.972629,0.027371,0.31551
10.769052,0.967742,0.032258,0.401996
10.808572,0.967742,0.032258,0.403628
10.848092,0.967742,0.032258,0.405105
10.887612,0.967742,0.032258,0.406441
10.927132,0.972629,0.027371,0.324986
10.966652,0.967742,0.032258,0.410569
11.006172,0.967742,0.032258,0.411384
11.045692,0.967742,0.032258,0.412122
11.085212,0.967742,0.032258,0.41279
11.124732,0.972629,0.027371,0.33073
