Time,Output,Error,Control
0.005004,999.20068,0.0,0.0
0.010976,0.0,0.0,0.0
0.016744,0.0,0.0,0.0
0.038328,0.0,0.0,0.0
0.062248,0.0,0.0,0.0
0.086168,-999.20068,0.0,0.0
0.113208,0.0,0.0,0.0
0.137128,0.0,0.0,0.0
0.161048,0.0,0.0,0.0
0.184968,0.0,0.0,0.0
0.208888,0.0,0.0,0.0
0.232808,2.930207,0.0,0.0
0.256728,16.604507,0.0,0.0
0.281688,11.72083,0.0,0.0
0.306648,13.674302,0.0,0.0
0.331608,16.604507,0.0,0.0
0.356568,13.674299,0.0,0.0
0.381528,12.697564,0.0,0.0
0.406488,11.72083,0.0,0.0
0.431448,12.697564,0.0,0.0
0.456408,13.674299,0.0,0.0
0.481368,13.674299,0.0,0.0
0.506328,13.674299,0.0,0.0
0.531288,11.720841,0.0,0.0
0.556248,12.697553,0.0,0.0
0.581208,15.627769,0.0,0.0
0.606168,10.744095,0.0,0.0
0.631128,13.674311,0.0,0.0
0.656088,12.697553,0.0,0.0
0.681048,13.674311,0.0,0.0
0.706008,13.674287,0.0,0.0
0.730968,11.720841,0.0,0.0
0.755928,10.744082,0.0,0.0
0.780888,15.627757,0.0,0.0
0.805848,10.744106,0.0,0.0
0.830808,15.627757,0.0,0.0
0.855768,10.74413,0.0,0.0
0.880728,13.674287,0.0,0.0
0.905688,15.627781,0.0,0.0
0.930648,16.604492,0.0,0.0
0.955608,8.790613,0.0,0.0
0.979528,13.674311,0.0,0.0
1.004488,14.651022,0.0,0.0
1.029448,13.674335,0.0,0.0
1.054408,14.651022,0.0,0.0
1.079368,16.604492,0.0,0.0
1.104328,16.604492,0.0,0.0
1.129288,11.720865,0.0,0.0
1.154248,14.651022,0.0,0.0
1.179208,13.674287,0.0,0.0
1.204168,17.581274,0.0,0.0
1.229128,12.697553,0.0,0.0
1.254088,16.604492,0.0,0.0
1.279048,12.697553,0.0,0.0
1.304008,14.651022,0.0,0.0
1.328968,15.627805,0.0,0.0
1.353928,13.674287,0.0,0.0
1.378888,12.697553,0.0,0.0
1.403848,13.674287,0.0,0.0
1.428808,13.674382,0.0,0.0
1.453768,16.604492,0.0,0.0
1.478728,14.651022,0.0,0.0
1.503688,13.674287,0.0,0.0
