Time,Output,Error,Control
0.005,0.0,2.0,33.826263
0.01124,0.0,2.0,33.079536
0.043536,0.0,2.0,32.403931
0.083056,0.068426,1.931574,30.635368
0.122572,0.136852,1.863148,28.950579
0.162092,0.244379,1.755621,26.680262
0.20162,0.332356,1.667644,24.823771
0.241132,0.449658,1.550342,22.539244
0.280652,0.537634,1.462366,20.82313
0.320172,0.640274,1.359726,18.913601
0.359692,0.752688,1.247312,16.893597
0.399212,0.845552,1.154448,15.257528
0.438736,0.957967,1.042033,13.331707
0.478252,1.055719,0.944281,11.698187
0.517776,1.15347,0.84653,10.099284
0.557292,1.265885,0.734115,8.283704
0.595776,1.353861,0.646139,6.915253
0.634252,1.466276,0.533724,5.154947
0.672732,1.55914,0.44086,3.753841
0.711212,1.661779,0.338221,2.205932
0.749692,1.749756,0.250244,0.92643
0.788172,1.803519,0.196481,0.238569
0.826656,1.891496,0.108504,-1.028959
0.866172,1.935484,0.064516,-1.540655
0.905696,1.911046,0.088954,-0.900752
0.945212,1.940371,0.059629,-1.200861
0.984736,1.935484,0.064516,-0.930027
1.024252,1.915933,0.084067,-0.430948
1.063772,1.930596,0.069404,-0.533859
1.103292,1.930596,0.069404,-0.397122
1.142812,1.930596,0.069404,-0.273408
1.182332,1.930596,0.069404,-0.161478
1.221852,1.925709,0.074291,0.022457
1.260332,1.925709,0.074291,0.112256
1.298812,1.925709,0.074291,0.193503
1.337292,1.925709,0.074291,0.267011
1.375772,1.925709,0.074291,0.333517
1.414252,1.915933,0.084067,0.559018
1.452736,1.925709,0.074291,0.444481
1.491212,1.925709,0.074291,0.494085
1.529692,1.925709,0.074291,0.538964
1.568172,1.925709,0.074291,0.579568
1.606652,1.930596,0.069404,0.533641
1.645132,1.925709,0.074291,0.651368
1.683612,1.886608,0.113392,1.342581
1.722092,1.930596,0.069404,0.611054
1.760572,1.925709,0.074291,0.721408
1.79906,1.925709,0.074291,0.744635
1.837532,1.930596,0.069404,0.682986
1.876012,1.935484,0.064516,0.62116
1.914492,1.930596,0.069404,0.724503
1.952976,1.906158,0.093842,1.154708
1.991452,1.935484,0.064516,0.664874
2.029936,1.935484,0.064516,0.681389
2.068412,1.935484,0.064516,0.696331
2.106892,1.940371,0.059629,0.627185
2.145376,1.891496,0.108504,1.467884
2.183852,1.945259,0.054741,0.553046
2.222336,1.945259,0.054741,0.568115
2.260816,1.950147,0.049853,0.499084
2.299292,1.950147,0.049853,0.513244
2.337772,1.950147,0.049853,0.526055
2.376256,1.945259,0.054741,0.620311
2.414732,1.911046,0.088954,1.207623
2.453212,1.955034,0.044966,0.458706
2.491696,1.959922,0.040078,0.387998
2.530176,1.959922,0.040078,0.400642
2.568656,1.959922,0.040078,0.41208
2.607132,1.964809,0.035191,0.339765
2.645612,1.964809,0.035191,0.350954
2.684096,1.959922,0.040078,0.443741
2.722572,1.959922,0.040078,0.451075
2.761052,1.959922,0.040078,0.45771
2.799536,1.959922,0.040078,0.463714
2.838012,1.959922,0.040078,0.469145
2.876492,1.920821,0.079179,1.135376
2.914972,1.964809,0.035191,0.381242
2.953452,1.959922,0.040078,0.471145
2.991936,1.964809,0.035191,0.393204
3.030416,1.959922,0.040078,0.481967
3.068892,1.964809,0.035191,0.402996
3.107376,1.959922,0.040078,0.490826
3.145852,1.935484,0.064516,0.906999
3.184332,1.964809,0.035191,0.404465
3.222816,1.959922,0.040078,0.492155
3.261292,1.959922,0.040078,0.494878
3.299772,1.964809,0.035191,0.414677
3.338256,1.964809,0.035191,0.41873
3.376732,1.959922,0.040078,0.505062
3.415216,1.950147,0.049853,0.671886
3.453696,1.959922,0.040078,0.504257
3.492172,1.964809,0.035191,0.423162
3.53066,1.964809,0.035191,0.426408
3.569132,1.964809,0.035191,0.429344
3.607612,1.920821,0.079179,1.175981
3.646096,1.964809,0.035191,0.417981
3.684572,1.959922,0.040078,0.504384
3.723052,1.959922,0.040078,0.505942
3.761532,1.959922,0.040078,0.507351
3.800012,1.959922,0.040078,0.508626
3.838492,1.964809,0.035191,0.427116
3.876972,1.940371,0.059629,0.843308
3.915452,1.964809,0.035191,0.423456
3.953932,1.959922,0.040078,0.509337
3.992412,1.959922,0.040078,0.510423
4.030892,1.964809,0.035191,0.428742
4.069372,1.964809,0.035191,0.431456
4.107852,1.959922,0.040078,0.516575
4.146332,1.940371,0.059629,0.847631
4.184816,1.964809,0.035191,0.427367
4.223292,1.959922,0.040078,0.512876
4.26178,1.959922,0.040078,0.513625
