Tempo, Referencia, Erro, Posicao
0.000000, 0.000000, -0.053763, 0.053763
0.000000, 0.000000, -0.058651, 0.058651
0.001000, 0.001000, -0.019550, 0.019550
0.004000, 0.004000, -0.052763, 0.053763
0.007000, 0.007000, -0.049763, 0.053763
0.011000, 0.011000, -0.046763, 0.053763
0.014000, 0.014000, -0.042763, 0.053763
0.018000, 0.018000, -0.005550, 0.019550
0.021000, 0.021000, -0.035763, 0.053763
0.024000, 0.024000, -0.032763, 0.053763
0.028000, 0.028000, -0.029763, 0.053763
0.031000, 0.031000, -0.025763, 0.053763
0.035000, 0.035000, 0.011450, 0.019550
0.038000, 0.038000, -0.018763, 0.053763
0.041000, 0.041000, -0.015763, 0.053763
0.046000, 0.046000, -0.012763, 0.053763
0.049000, 0.049000, -0.007763, 0.053763
0.053000, 0.053000, 0.039225, 0.009775
0.056000, 0.056000, -0.000763, 0.053763
0.059000, 0.059000, 0.007124, 0.048876
0.063000, 0.063000, 0.039450, 0.019550
0.066000, 0.066000, 0.009237, 0.053763
0.069000, 0.069000, 0.012237, 0.053763
0.073000, 0.073000, 0.054337, 0.014663
0.076000, 0.076000, 0.019237, 0.053763
0.079000, 0.079000, 0.022237, 0.053763
0.083000, 0.083000, 0.074112, 0.004888
0.087000, 0.087000, 0.029237, 0.053763
0.090000, 0.090000, 0.033237, 0.053763
0.094000, 0.094000, 0.016686, 0.073314
0.097000, 0.097000, 0.040237, 0.053763
0.100000, 0.100000, 0.043237, 0.053763
0.104000, 0.104000, 0.026686, 0.073314
0.107000, 0.107000, 0.050237, 0.053763
0.110000, 0.110000, 0.053237, 0.053763
0.114000, 0.114000, 0.056237, 0.053763
0.117000, 0.117000, 0.065124, 0.048876
0.120000, 0.120000, 0.063237, 0.053763
0.123000, 0.123000, 0.066237, 0.053763
0.128000, 0.128000, 0.083899, 0.039101
0.131000, 0.131000, 0.074237, 0.053763
0.134000, 0.134000, 0.077237, 0.053763
0.138000, 0.138000, 0.104674, 0.029326
0.141000, 0.141000, 0.084237, 0.053763
0.144000, 0.144000, 0.087237, 0.053763
0.148000, 0.148000, 0.124450, 0.019550
0.151000, 0.151000, 0.094237, 0.053763
0.154000, 0.154000, 0.097237, 0.053763
0.158000, 0.158000, 0.139337, 0.014663
0.161000, 0.161000, 0.104237, 0.053763
0.164000, 0.164000, 0.107237, 0.053763
0.168000, 0.168000, 0.159112, 0.004888
0.172000, 0.172000, 0.114237, 0.053763
0.175000, 0.175000, 0.118237, 0.053763
0.179000, 0.179000, 0.101686, 0.073314
0.182000, 0.182000, 0.125237, 0.053763
0.185000, 0.185000, 0.128237, 0.053763
0.189000, 0.189000, 0.131237, 0.053763
0.192000, 0.192000, 0.135237, 0.053763
0.195000, 0.195000, 0.138237, 0.053763
0.199000, 0.199000, 0.141237, 0.053763
0.202000, 0.202000, 0.145237, 0.053763
0.205000, 0.205000, 0.148237, 0.053763
0.208000, 0.208000, 0.151237, 0.053763
0.212000, 0.212000, 0.154237, 0.053763
0.216000, 0.216000, 0.148461, 0.063539
0.219000, 0.219000, 0.152461, 0.063539
0.223000, 0.223000, 0.179899, 0.039101
0.226000, 0.226000, 0.159461, 0.063539
0.229000, 0.229000, 0.162461, 0.063539
0.233000, 0.233000, 0.199674, 0.029326
0.236000, 0.236000, 0.169461, 0.063539
0.239000, 0.239000, 0.172461, 0.063539
0.243000, 0.243000, 0.209674, 0.029326
0.246000, 0.246000, 0.174574, 0.068426
0.249000, 0.249000, 0.177574, 0.068426
0.253000, 0.253000, 0.229450, 0.019550
0.257000, 0.257000, 0.179686, 0.073314
0.260000, 0.260000, 0.183686, 0.073314
0.264000, 0.264000, 0.172023, 0.087977
0.267000, 0.267000, 0.190686, 0.073314
0.270000, 0.270000, 0.193686, 0.073314
0.274000, 0.274000, 0.196686, 0.073314
0.277000, 0.277000, 0.200686, 0.073314
0.280000, 0.280000, 0.198799, 0.078201
0.284000, 0.284000, 0.201799, 0.078201
0.287000, 0.287000, 0.205799, 0.078201
0.290000, 0.290000, 0.208799, 0.078201
0.294000, 0.294000, 0.206911, 0.083089
0.297000, 0.297000, 0.220686, 0.073314
0.301000, 0.301000, 0.213911, 0.083089
0.304000, 0.304000, 0.217911, 0.083089
0.308000, 0.308000, 0.245349, 0.058651
0.311000, 0.311000, 0.220023, 0.087977
0.314000, 0.314000, 0.223023, 0.087977
0.318000, 0.318000, 0.255349, 0.058651
0.321000, 0.321000, 0.225136, 0.092864
0.324000, 0.324000, 0.228136, 0.092864
0.328000, 0.328000, 0.270237, 0.053763
0.331000, 0.331000, 0.225361, 0.102639
0.334000, 0.334000, 0.228361, 0.102639
0.338000, 0.338000, 0.280237, 0.053763
0.342000, 0.342000, 0.235361, 0.102639
0.345000, 0.345000, 0.234473, 0.107527
0.349000, 0.349000, 0.217923, 0.127077
0.352000, 0.352000, 0.241473, 0.107527
0.355000, 0.355000, 0.239586, 0.112414
0.359000, 0.359000, 0.242586, 0.112414
0.362000, 0.362000, 0.246586, 0.112414
0.365000, 0.365000, 0.249586, 0.112414
0.369000, 0.369000, 0.252586, 0.112414
0.372000, 0.372000, 0.256586, 0.112414
0.375000, 0.375000, 0.259586, 0.112414
0.379000, 0.379000, 0.257698, 0.117302
0.382000, 0.382000, 0.266586, 0.112414
0.386000, 0.386000, 0.264698, 0.117302
0.389000, 0.389000, 0.268698, 0.117302
0.393000, 0.393000, 0.281473, 0.107527
0.396000, 0.396000, 0.270810, 0.122190
0.399000, 0.399000, 0.273810, 0.122190
0.403000, 0.403000, 0.311023, 0.087977
0.406000, 0.406000, 0.280810, 0.122190
0.409000, 0.409000, 0.283810, 0.122190
0.413000, 0.413000, 0.321023, 0.087977
0.416000, 0.416000, 0.281035, 0.131965
0.419000, 0.419000, 0.284035, 0.131965
0.423000, 0.423000, 0.340799, 0.078201
0.427000, 0.427000, 0.286148, 0.136852
0.430000, 0.430000, 0.285260, 0.141740
0.434000, 0.434000, 0.278485, 0.151515
0.437000, 0.437000, 0.287372, 0.146628
0.440000, 0.440000, 0.285485, 0.151515
0.444000, 0.444000, 0.288485, 0.151515
0.447000, 0.447000, 0.292485, 0.151515
0.450000, 0.450000, 0.290597, 0.156403
0.454000, 0.454000, 0.293597, 0.156403
0.457000, 0.457000, 0.292710, 0.161290
0.460000, 0.460000, 0.295710, 0.161290
0.464000, 0.464000, 0.298710, 0.161290
0.467000, 0.467000, 0.302710, 0.161290
0.471000, 0.471000, 0.295934, 0.171065
0.474000, 0.474000, 0.299935, 0.171065
0.478000, 0.478000, 0.322485, 0.151515
0.481000, 0.481000, 0.306934, 0.171065
0.484000, 0.484000, 0.309934, 0.171065
0.488000, 0.488000, 0.337372, 0.146628
0.491000, 0.491000, 0.307159, 0.180841
0.494000, 0.494000, 0.310159, 0.180841
0.498000, 0.498000, 0.347372, 0.146628
0.501000, 0.501000, 0.307384, 0.190616
0.504000, 0.504000, 0.305497, 0.195503
0.508000, 0.508000, 0.357372, 0.146628
0.512000, 0.512000, 0.307609, 0.200391
0.515000, 0.515000, 0.306721, 0.205279
0.519000, 0.519000, 0.295059, 0.219941
0.522000, 0.522000, 0.313721, 0.205279
0.525000, 0.525000, 0.316721, 0.205279
0.529000, 0.529000, 0.314834, 0.210166
0.532000, 0.532000, 0.318834, 0.210166
0.535000, 0.535000, 0.321834, 0.210166
0.539000, 0.539000, 0.324834, 0.210166
0.542000, 0.542000, 0.328834, 0.210166
0.545000, 0.545000, 0.331834, 0.210166
0.549000, 0.549000, 0.334834, 0.210166
0.552000, 0.552000, 0.333946, 0.215054
0.556000, 0.556000, 0.336946, 0.215054
0.559000, 0.559000, 0.340946, 0.215054
0.563000, 0.563000, 0.358609, 0.200391
0.566000, 0.566000, 0.343059, 0.219941
0.569000, 0.569000, 0.346059, 0.219941
0.573000, 0.573000, 0.378384, 0.190616
0.576000, 0.576000, 0.343283, 0.229717
0.579000, 0.579000, 0.341396, 0.234604
0.583000, 0.583000, 0.378609, 0.200391
0.586000, 0.586000, 0.343508, 0.239492
0.589000, 0.589000, 0.341621, 0.244379
0.593000, 0.593000, 0.393497, 0.195503
0.596000, 0.596000, 0.343733, 0.249267
0.600000, 0.600000, 0.346733, 0.249267
0.604000, 0.604000, 0.331183, 0.268817
0.607000, 0.607000, 0.354733, 0.249267
0.610000, 0.610000, 0.352846, 0.254154
0.614000, 0.614000, 0.350958, 0.259042
0.617000, 0.617000, 0.359846, 0.254154
0.620000, 0.620000, 0.357958, 0.259042
0.624000, 0.624000, 0.360958, 0.259042
0.627000, 0.627000, 0.360070, 0.263930
0.630000, 0.630000, 0.353295, 0.273705
0.634000, 0.634000, 0.356295, 0.273705
