Tempo, Referencia, Erro, Posicao
0.00, 0.00, -0.11, 0.11
0.00, 0.00, -0.06, 0.06
0.00, 0.00, -0.06, 0.06
0.00, 0.00, -0.10, 0.10
0.00, 0.00, -0.10, 0.10
0.01, 0.01, -0.10, 0.10
0.01, 0.01, -0.10, 0.10
0.01, 0.01, -0.09, 0.10
0.01, 0.01, -0.09, 0.10
0.01, 0.01, -0.10, 0.11
0.02, 0.02, -0.04, 0.05
0.02, 0.02, -0.06, 0.07
0.02, 0.02, -0.07, 0.09
0.02, 0.02, -0.08, 0.10
0.02, 0.02, -0.08, 0.10
0.03, 0.03, -0.08, 0.10
0.03, 0.03, -0.08, 0.10
0.03, 0.03, -0.07, 0.10
0.03, 0.03, -0.07, 0.10
0.04, 0.04, -0.07, 0.10
0.04, 0.04, -0.07, 0.10
0.04, 0.04, -0.07, 0.10
0.04, 0.04, -0.06, 0.10
0.04, 0.04, -0.01, 0.05
0.05, 0.05, -0.02, 0.07
0.05, 0.05, -0.04, 0.08
0.05, 0.05, -0.05, 0.10
0.05, 0.05, -0.05, 0.10
0.05, 0.05, -0.05, 0.10
0.06, 0.06, -0.05, 0.10
0.06, 0.06, -0.05, 0.10
0.06, 0.06, -0.04, 0.10
0.06, 0.06, -0.04, 0.10
0.06, 0.06, -0.04, 0.10
0.07, 0.07, -0.04, 0.10
0.07, 0.07, -0.04, 0.11
0.07, 0.07, -0.05, 0.12
0.07, 0.07, 0.01, 0.06
0.08, 0.08, 0.01, 0.06
0.08, 0.08, 0.01, 0.06
0.08, 0.08, 0.01, 0.06
0.08, 0.08, 0.02, 0.06
0.08, 0.08, 0.02, 0.06
0.09, 0.09, 0.02, 0.06
0.09, 0.09, 0.03, 0.05
0.09, 0.09, 0.03, 0.05
0.09, 0.09, -0.03, 0.12
0.09, 0.09, 0.02, 0.07
0.10, 0.10, 0.03, 0.06
0.10, 0.10, 0.04, 0.06
0.10, 0.10, 0.03, 0.06
0.10, 0.10, 0.04, 0.06
0.10, 0.10, 0.04, 0.06
0.11, 0.11, 0.05, 0.05
0.11, 0.11, 0.05, 0.05
0.11, 0.11, 0.07, 0.03
0.11, 0.11, -0.01, 0.12
0.11, 0.11, 0.04, 0.07
0.12, 0.12, 0.05, 0.06
0.12, 0.12, 0.05, 0.06
0.12, 0.12, 0.05, 0.06
0.12, 0.12, 0.06, 0.06
0.12, 0.12, 0.06, 0.06
0.13, 0.13, 0.07, 0.06
0.13, 0.13, 0.07, 0.05
0.13, 0.13, 0.08, 0.05
0.13, 0.13, 0.01, 0.12
0.14, 0.14, 0.09, 0.04
0.14, 0.14, 0.02, 0.12
0.14, 0.14, 0.02, 0.12
0.14, 0.14, 0.02, 0.12
0.14, 0.14, 0.02, 0.12
0.14, 0.14, 0.03, 0.12
0.15, 0.15, 0.03, 0.12
0.15, 0.15, 0.03, 0.11
0.15, 0.15, 0.04, 0.11
0.15, 0.15, 0.05, 0.10
0.16, 0.16, 0.05, 0.10
0.16, 0.16, 0.05, 0.10
0.16, 0.16, 0.05, 0.10
0.16, 0.16, 0.06, 0.10
0.16, 0.16, 0.06, 0.10
0.17, 0.17, 0.06, 0.10
