Tempo,Velocidade
0.051000,36.033966
0.102000,0.575010
0.153000,1.150019
0.204000,0.670847
0.256000,1.127903
0.307000,1.245854
0.358000,1.341694
0.409000,1.245854
0.460000,1.725029
0.512000,0.939919
0.563000,1.629198
0.614000,1.437524
0.665000,1.150019
0.716000,1.533359
0.768000,1.409884
0.819000,1.341689
0.870000,1.341689
0.921000,1.437524
0.972000,1.341694
1.024000,1.315887
1.075000,1.341689
1.126000,1.341689
1.177000,1.245854
1.228000,1.437533
1.280000,1.597863
1.331000,1.245854
1.382000,1.341689
1.433000,1.629198
1.484000,1.341689
1.536000,1.503871
1.587000,1.533359
1.638000,1.437528
1.689000,1.437524
1.740000,1.629194
1.792000,1.409879
1.843000,1.437533
1.894000,1.341689
1.945000,1.533359
1.996000,1.245854
2.048000,1.221895
2.099000,1.725029
2.150000,1.341689
2.201000,1.629194
2.252000,1.437524
2.304000,1.315896
2.355000,1.245854
2.406000,0.862514
2.457000,0.000000
2.508000,0.000000
2.560000,0.000000
2.611000,0.000000
2.662000,0.000000
2.713000,0.000000
2.764000,0.000000
2.816000,0.000000
2.867000,0.000000
2.969000,0.000000
3.020000,0.000000
3.072000,0.000000
