Tempo, Velocidade
0.026000, 0.563952
0.052000, 1.879840
0.078000, 1.315888
0.104000, 1.879840
0.130000, 2.443793
0.156000, 2.631777
0.182000, 1.879840
0.208000, 3.007744
0.234000, 2.631778
0.260000, 2.067826
0.286000, 2.443790
0.312000, 2.443793
0.338000, 3.007744
0.364000, 2.067825
0.390000, 2.819763
0.416000, 2.631777
0.442000, 3.007744
0.468000, 1.503871
0.494000, 3.007747
0.520000, 2.255806
0.546000, 2.819763
0.572000, 2.443790
0.598000, 2.067827
0.624000, 2.819758
0.650000, 2.255811
0.676000, 2.631774
0.702000, 2.443790
0.728000, 2.631783
0.754000, 3.007742
0.780000, 2.067827
0.806000, 3.383710
0.832000, 1.879843
0.858000, 3.007742
0.884000, 3.007751
0.910000, 2.443790
0.936000, 2.631774
0.962000, 2.631774
0.988000, 3.571703
1.014000, 2.819758
1.040000, 2.443790
1.067000, 2.715323
1.093000, 3.007751
1.119000, 2.443790
1.145000, 2.819758
1.171000, 2.631774
1.197000, 3.007751
1.223000, 3.007742
1.249000, 2.443790
1.275000, 3.195726
1.301000, 2.631793
1.327000, 2.443790
1.353000, 3.571694
1.379000, 2.443790
1.405000, 3.195726
1.431000, 2.819767
1.457000, 3.007742
1.483000, 2.631774
1.509000, 3.383710
1.536000, 2.896353
1.562000, 3.195726
1.588000, 3.383710
1.614000, 2.443790
1.640000, 2.819777
1.666000, 3.007742
1.692000, 2.255806
1.718000, 2.819758
1.744000, 3.759677
1.770000, 2.443790
1.796000, 3.195726
1.822000, 3.007742
1.848000, 2.819777
1.874000, 3.571694
1.900000, 0.563952
1.926000, 0.000000
1.952000, 0.000000
1.978000, 0.000000
2.004000, 0.000000
2.030000, 0.000000
2.056000, 0.000000
2.082000, -0.187984
2.108000, 0.000000
2.134000, -9.023244
2.160000, -183.096470
2.186000, 0.000000
2.212000, 0.000000
2.238000, 0.000000
2.264000, 0.000000
2.290000, 2.631777
2.316000, 2.067825
2.342000, 3.383713
2.368000, 2.631777
2.394000, 2.255809
2.420000, 3.195729
2.446000, 2.443792
2.472000, 2.255810
2.498000, 2.631777
2.524000, 2.819760
2.550000, 2.631777
2.576000, 2.443790
2.603000, 2.353284
2.629000, 2.819760
2.655000, 2.631777
2.681000, 2.443795
2.707000, 2.631774
2.733000, 2.631779
2.759000, 2.819758
2.785000, 2.255811
2.811000, 2.443790
2.837000, 2.631779
2.863000, 2.443790
2.889000, 2.819758
2.915000, 2.443799
2.941000, 2.819758
2.967000, 2.443795
2.993000, 3.383710
3.019000, 1.691859
3.045000, 3.383710
3.072000, 2.715332
3.098000, 2.443790
3.124000, 2.443790
3.150000, 2.819758
3.176000, 3.947661
3.202000, 2.255816
3.228000, 2.819758
3.254000, 2.819758
3.280000, 3.007751
3.306000, 2.443790
3.332000, 3.007742
3.358000, 2.819758
3.384000, 3.007751
3.410000, 2.819758
3.436000, 2.631774
3.462000, 3.007742
3.488000, 2.819777
3.514000, 2.631774
3.540000, 3.383710
3.566000, 2.631774
3.592000, 3.007742
3.618000, 2.819767
3.644000, 2.631774
3.670000, 3.007742
3.696000, 3.383710
3.722000, 3.007751
3.748000, 3.007742
3.774000, 3.195726
3.800000, 2.443790
3.826000, 3.007760
3.852000, 3.195726
3.878000, 2.255806
3.904000, 2.819758
3.930000, 3.571694
3.956000, 2.443790
3.982000, 3.383710
4.008000, 3.195726
4.034000, 3.007760
4.060000, 3.195726
4.086000, 0.563952
4.112000, 0.000000
4.139000, 0.000000
4.165000, 0.000000
4.191000, 0.000000
4.217000, 0.000000
4.243000, 0.000000
4.269000, 0.000000
4.295000, -0.187984
4.321000, -106.962930
4.347000, -85.156776
4.373000, 0.000000
4.399000, 0.000000
4.425000, 0.000000
4.451000, 0.000000
4.477000, 2.443793
4.503000, 2.067825
4.529000, 3.383713
4.555000, 2.819760
4.581000, 2.067825
4.608000, 3.077369
4.634000, 2.443792
4.660000, 2.443794
4.686000, 2.631777
4.712000, 2.819760
4.738000, 2.631777
4.764000, 2.255806
4.790000, 2.631779
4.816000, 2.819760
4.842000, 2.443793
4.868000, 2.443795
4.894000, 2.631774
4.920000, 2.443795
4.946000, 3.007742
4.972000, 2.255811
4.998000, 2.067823
5.024000, 3.007742
5.050000, 1.879843
